,method_key,dataset_key,model,balancing_x_dim,batch_size,early_stopping,init_lr,layer_dims_balancing_x,layer_dims_output,weight_decay,seed,time,status,checksum,bias_h1,bias_l2_h1,time2
0,AutoDML head (k10 neural_different_outputs 10 100000 True 0.01 [200] [200] 0),IHDP,neural_different_outputs,10,100000,True,0.01,[200],[200],0,0,0.44616103172302246,Done,142.4127637621441,0.022950397754499658,0.045896550814711154,0.5170238018035889
1,AutoDML head (k10 neural_different_outputs 10 100000 True 0.01 [200] [200] 0),IHDP,neural_different_outputs,10,100000,True,0.01,[200],[200],0,1,0.27797508239746094,Done,144.2744751409479,0.10233938902553462,0.10575660904616123,0.350449800491333
2,AutoDML head (k10 neural_different_outputs 10 100000 True 0.01 [200] [200] 0),IHDP,neural_different_outputs,10,100000,True,0.01,[200],[200],0,2,0.6234376430511475,Done,143.30014698614525,0.08275038063898488,0.10596808372782143,0.7055807113647461
3,AutoDML head (k10 neural_different_outputs 10 100000 True 0.01 [200] [200] 0),IHDP,neural_different_outputs,10,100000,True,0.01,[200],[200],0,3,0.2353684902191162,Done,148.05671514302279,0.04651856482440839,0.04695367150564174,0.3089745044708252
4,AutoDML head (k10 neural_different_outputs 10 100000 True 0.01 [200] [200] 0),IHDP,neural_different_outputs,10,100000,True,0.01,[200],[200],0,4,0.28985023498535156,Done,147.03430989431564,0.08453570140586769,0.08557805969519271,0.38042759895324707
5,AutoDML head (k10 neural_different_outputs 10 100000 True 0.01 [200] [200] 0),IHDP,neural_different_outputs,10,100000,True,0.01,[200],[200],0,5,0.23353862762451172,Done,142.3269707961171,0.058586809606054134,0.060176582363368675,0.32442307472229004
6,AutoDML head (k10 neural_different_outputs 10 100000 True 0.01 [200] [200] 0),IHDP,neural_different_outputs,10,100000,True,0.01,[200],[200],0,6,0.39734792709350586,Done,141.50307116867637,0.06894205254274968,0.11146093084909893,0.48834848403930664
7,AutoDML head (k10 neural_different_outputs 10 100000 True 0.01 [200] [200] 0),IHDP,neural_different_outputs,10,100000,True,0.01,[200],[200],0,7,0.5524029731750488,Done,144.5201414126603,0.0908155236828191,0.09081954928170849,0.6366097927093506
8,AutoDML head (k10 neural_different_outputs 10 100000 True 0.01 [200] [200] 0),IHDP,neural_different_outputs,10,100000,True,0.01,[200],[200],0,8,0.2969491481781006,Done,179.73967657235147,0.9192452395379005,0.919280592422502,0.37183594703674316
9,AutoDML head (k10 neural_different_outputs 10 100000 True 0.01 [200] [200] 0),IHDP,neural_different_outputs,10,100000,True,0.01,[200],[200],0,9,0.2986929416656494,Done,160.08712892274906,0.1468038325617158,0.14685009492210988,0.3867621421813965
