,method_key,dataset_key,model,balancing_x_dim,batch_size,early_stopping,init_lr,layer_dims_balancing_x,layer_dims_output,weight_decay,seed,time,status,checksum,bias_h1,bias_l2_h1,time2
0,AutoDML head (k10 neural_different_outputs 10 100000 True 0.01 [200] [200] 0),News,neural_different_outputs,10,100000,True,0.01,[200],[200],0,0,363.88722944259644,Done,2293.717403566159,1.2457538067214202,1.633354884382395,371.323246717453
1,AutoDML head (k10 neural_different_outputs 10 100000 True 0.01 [200] [200] 0),News,neural_different_outputs,10,100000,True,0.01,[200],[200],0,1,12.482614278793335,Done,2732.08117885045,0.1964701263679464,0.23800009984870032,18.135372400283813
2,AutoDML head (k10 neural_different_outputs 10 100000 True 0.01 [200] [200] 0),News,neural_different_outputs,10,100000,True,0.01,[200],[200],0,2,6.614843130111694,Done,2391.024532802661,0.16513299657284952,0.20476201733566488,13.280757665634155
3,AutoDML head (k10 neural_different_outputs 10 100000 True 0.01 [200] [200] 0),News,neural_different_outputs,10,100000,True,0.01,[200],[200],0,3,6.277284383773804,Done,2408.330944730992,0.15416987100171303,0.15536897124216864,12.490397930145264
4,AutoDML head (k10 neural_different_outputs 10 100000 True 0.01 [200] [200] 0),News,neural_different_outputs,10,100000,True,0.01,[200],[200],0,4,6.94853138923645,Done,2691.403927040199,0.41329606427556353,0.5433082107676441,13.14371657371521
5,AutoDML head (k10 neural_different_outputs 10 100000 True 0.01 [200] [200] 0),News,neural_different_outputs,10,100000,True,0.01,[200],[200],0,5,8.024366617202759,Done,2722.3457942040327,0.25143929774771284,0.29619169449337723,14.491151332855225
6,AutoDML head (k10 neural_different_outputs 10 100000 True 0.01 [200] [200] 0),News,neural_different_outputs,10,100000,True,0.01,[200],[200],0,6,17.7687931060791,Done,2416.1454963351457,1.1695779773409865,1.4265108225847831,25.917823553085327
7,AutoDML head (k10 neural_different_outputs 10 100000 True 0.01 [200] [200] 0),News,neural_different_outputs,10,100000,True,0.01,[200],[200],0,7,7.764723539352417,Done,2276.0533576931844,0.27176948554047303,0.38730626002450186,14.990499496459961
8,AutoDML head (k10 neural_different_outputs 10 100000 True 0.01 [200] [200] 0),News,neural_different_outputs,10,100000,True,0.01,[200],[200],0,8,15.767955780029297,Done,2775.3698135247405,2.6082611878544886,2.9916368142202656,24.662715911865234
9,AutoDML head (k10 neural_different_outputs 10 100000 True 0.01 [200] [200] 0),News,neural_different_outputs,10,100000,True,0.01,[200],[200],0,9,7.070474624633789,Done,2464.162421030651,1.0243234250669722,1.4534537635240694,13.616374731063843
10,AutoDML head (k10 neural_different_outputs 10 100000 True 0.01 [200] [200] 0),News,neural_different_outputs,10,100000,True,0.01,[200],[200],0,10,14.435408353805542,Done,2442.6488519970976,0.7868786147585263,1.0635532171157391,21.443203687667847
11,AutoDML head (k10 neural_different_outputs 10 100000 True 0.01 [200] [200] 0),News,neural_different_outputs,10,100000,True,0.01,[200],[200],0,11,7.558942556381226,Done,2152.57109317188,0.07865897564814005,0.09345094918138468,15.172340154647827
12,AutoDML head (k10 neural_different_outputs 10 100000 True 0.01 [200] [200] 0),News,neural_different_outputs,10,100000,True,0.01,[200],[200],0,12,7.95524787902832,Done,2804.5740444459097,0.3120742692850413,0.36760225832071797,16.34167766571045
13,AutoDML head (k10 neural_different_outputs 10 100000 True 0.01 [200] [200] 0),News,neural_different_outputs,10,100000,True,0.01,[200],[200],0,13,8.93184518814087,Done,2351.3787945701083,0.3236270360891024,0.3273214222030675,15.894100904464722
14,AutoDML head (k10 neural_different_outputs 10 100000 True 0.01 [200] [200] 0),News,neural_different_outputs,10,100000,True,0.01,[200],[200],0,14,8.149203300476074,Done,2241.9775389577285,0.22228434763341692,0.27672315442964046,14.485183954238892
15,AutoDML head (k10 neural_different_outputs 10 100000 True 0.01 [200] [200] 0),News,neural_different_outputs,10,100000,True,0.01,[200],[200],0,15,16.577629804611206,Done,2704.31846600419,0.3768299908217148,0.4733778914180509,22.93241572380066
16,AutoDML head (k10 neural_different_outputs 10 100000 True 0.01 [200] [200] 0),News,neural_different_outputs,10,100000,True,0.01,[200],[200],0,16,10.184619903564453,Done,2154.7405816545784,0.3439515507683345,0.49153375622430806,19.60544180870056
17,AutoDML head (k10 neural_different_outputs 10 100000 True 0.01 [200] [200] 0),News,neural_different_outputs,10,100000,True,0.01,[200],[200],0,17,20.29522132873535,Done,2389.4638909734203,2.048977015362782,2.4496352563701,28.59992742538452
18,AutoDML head (k10 neural_different_outputs 10 100000 True 0.01 [200] [200] 0),News,neural_different_outputs,10,100000,True,0.01,[200],[200],0,18,11.334148406982422,Done,2555.573369061002,0.140006537692442,0.1919493189762144,18.477433681488037
19,AutoDML head (k10 neural_different_outputs 10 100000 True 0.01 [200] [200] 0),News,neural_different_outputs,10,100000,True,0.01,[200],[200],0,19,37.24923658370972,Done,2316.276231747563,1.8050695480860521,2.507255105452115,46.36438822746277
20,AutoDML head (k10 neural_different_outputs 10 100000 True 0.01 [200] [200] 0),News,neural_different_outputs,10,100000,True,0.01,[200],[200],0,20,14.454875707626343,Done,2275.4514774018126,0.989859407403908,1.1853003516747367,21.643402099609375
21,AutoDML head (k10 neural_different_outputs 10 100000 True 0.01 [200] [200] 0),News,neural_different_outputs,10,100000,True,0.01,[200],[200],0,21,8.438073873519897,Done,2413.212128111431,0.06146196071100353,0.06161593100092793,15.574374437332153
