,method_key,dataset_key,kernel,lmb,seed,time,status,checksum,bias_h1,bias_l2_h1,time2
0,"KB (energy, lmb0.0001)",IHDP,energy,0.0001,0,0.38010549545288086,Done,142.4127637621441,0.011331928856178983,0.02095197347695883,0.45389628410339355
1,"KB (energy, lmb0.0001)",IHDP,energy,0.0001,1,0.39965128898620605,Done,144.2744751409479,0.06265545867408813,0.06487011145987305,0.46996498107910156
2,"KB (energy, lmb0.0001)",IHDP,energy,0.0001,2,0.3826167583465576,Done,143.30014698614525,0.04783101651158439,0.05275009420496798,0.4483823776245117
3,"KB (energy, lmb0.0001)",IHDP,energy,0.0001,3,0.35655903816223145,Done,148.05671514302279,0.037807574707428335,0.054107249911689095,0.42142271995544434
4,"KB (energy, lmb0.0001)",IHDP,energy,0.0001,4,0.40398192405700684,Done,147.03430989431564,0.04163621533471187,0.04164575120255892,0.47574758529663086
5,"KB (energy, lmb0.0001)",IHDP,energy,0.0001,5,0.4044985771179199,Done,142.3269707961171,0.045085920898555315,0.04832149771997859,0.47734665870666504
6,"KB (energy, lmb0.0001)",IHDP,energy,0.0001,6,0.42935729026794434,Done,141.50307116867637,0.04841045301802793,0.06556938300079251,0.5026764869689941
7,"KB (energy, lmb0.0001)",IHDP,energy,0.0001,7,0.40554380416870117,Done,144.5201414126603,0.05663780169440862,0.05711057240406555,0.47866034507751465
8,"KB (energy, lmb0.0001)",IHDP,energy,0.0001,8,0.42310190200805664,Done,179.73967657235147,0.37668176732175596,0.3877905866764147,0.5036101341247559
9,"KB (energy, lmb0.0001)",IHDP,energy,0.0001,9,0.4296145439147949,Done,160.08712892274906,0.0642421410770392,0.07668267166122496,0.5096614360809326
10,"KB (energy, lmb0.0001)",IHDP,energy,0.0001,10,0.45020222663879395,Done,144.85279390828137,0.13204545362720732,0.1333682365843659,0.525353193283081
11,"KB (energy, lmb0.0001)",IHDP,energy,0.0001,11,0.4254271984100342,Done,149.11707855177784,0.04714131226259013,0.04842995545971082,0.5029282569885254
12,"KB (energy, lmb0.0001)",IHDP,energy,0.0001,12,0.44615626335144043,Done,200.44003839974476,0.5775191341331793,0.634313561581323,0.5261893272399902
13,"KB (energy, lmb0.0001)",IHDP,energy,0.0001,13,0.4401981830596924,Done,142.46023963768073,0.02351784144280606,0.024894732722427423,0.5198731422424316
14,"KB (energy, lmb0.0001)",IHDP,energy,0.0001,14,0.4475216865539551,Done,146.6165503364577,0.06691303301345629,0.11320226569412224,0.5253794193267822
15,"KB (energy, lmb0.0001)",IHDP,energy,0.0001,15,0.44486212730407715,Done,144.35258209534268,0.07974350183603666,0.08106842380471294,0.5265400409698486
16,"KB (energy, lmb0.0001)",IHDP,energy,0.0001,16,0.44293999671936035,Done,150.64171640230225,0.07765296882991105,0.09413789951447141,0.5237948894500732
17,"KB (energy, lmb0.0001)",IHDP,energy,0.0001,17,0.41878604888916016,Done,148.5714837992555,0.06613607418547093,0.06743935351340027,0.4910264015197754
18,"KB (energy, lmb0.0001)",IHDP,energy,0.0001,18,0.40106964111328125,Done,146.88477563005694,0.009830181269983522,0.009844211772766905,0.47503209114074707
19,"KB (energy, lmb0.0001)",IHDP,energy,0.0001,19,0.43044614791870117,Done,143.1343577041847,0.01031009523319249,0.014567497022890489,0.5032644271850586
20,"KB (energy, lmb0.0001)",IHDP,energy,0.0001,20,0.3998851776123047,Done,156.56869329278277,0.1162752574041374,0.11659020278459685,0.4768643379211426
21,"KB (energy, lmb0.0001)",IHDP,energy,0.0001,21,0.3986239433288574,Done,143.13287786730626,0.06380865514000192,0.06422357903317341,0.4733695983886719
22,"KB (energy, lmb0.0001)",IHDP,energy,0.0001,22,0.4284024238586426,Done,146.77247535502394,0.017424751236485434,0.02242525422830071,0.507523775100708
23,"KB (energy, lmb0.0001)",IHDP,energy,0.0001,23,0.4340832233428955,Done,150.66182240614378,0.023028008772585585,0.023339438595903775,0.5136618614196777
24,"KB (energy, lmb0.0001)",IHDP,energy,0.0001,24,0.4416632652282715,Done,145.44440599290692,0.06221666373014034,0.06795989561917788,0.5192601680755615
25,"KB (energy, lmb0.0001)",IHDP,energy,0.0001,25,0.44307565689086914,Done,166.75684312117394,0.12695399355384365,0.12894362123449699,0.5220067501068115
26,"KB (energy, lmb0.0001)",IHDP,energy,0.0001,26,0.4310495853424072,Done,145.24503734379815,0.06054517240112675,0.06142374599498014,0.503582239151001
27,"KB (energy, lmb0.0001)",IHDP,energy,0.0001,27,0.39586949348449707,Done,194.17737405452044,0.11900650755697315,0.12351453597520384,0.4700634479522705
28,"KB (energy, lmb0.0001)",IHDP,energy,0.0001,28,0.4196288585662842,Done,146.07824131014317,0.02893871399929654,0.04144092312851102,0.4988272190093994
29,"KB (energy, lmb0.0001)",IHDP,energy,0.0001,29,0.4296600818634033,Done,147.11265451345722,0.0553377574263816,0.05691384270525111,0.5102784633636475
30,"KB (energy, lmb0.0001)",IHDP,energy,0.0001,30,0.4265468120574951,Done,146.62490904170733,0.01299336803953825,0.02804687529351375,0.4987618923187256
31,"KB (energy, lmb0.0001)",IHDP,energy,0.0001,31,0.44306325912475586,Done,144.1253431830959,0.011045268132680044,0.021362727389349242,0.5235598087310791
32,"KB (energy, lmb0.0001)",IHDP,energy,0.0001,32,0.42194652557373047,Done,146.40506672244874,0.05517065970318397,0.056862264529093334,0.494138240814209
33,"KB (energy, lmb0.0001)",IHDP,energy,0.0001,33,0.42980265617370605,Done,194.19547542436928,0.13717865473300628,0.1394265686265675,0.5087745189666748
34,"KB (energy, lmb0.0001)",IHDP,energy,0.0001,34,0.4402298927307129,Done,154.41258133357348,0.05884188963459455,0.06833980586724762,0.5196616649627686
35,"KB (energy, lmb0.0001)",IHDP,energy,0.0001,35,0.4334068298339844,Done,156.57851461895223,0.020341545948653013,0.021736682326941727,0.5132603645324707
36,"KB (energy, lmb0.0001)",IHDP,energy,0.0001,36,0.42492032051086426,Done,164.5212556249688,0.06370181220056274,0.10246974558762309,0.50327467918396
37,"KB (energy, lmb0.0001)",IHDP,energy,0.0001,37,0.4202768802642822,Done,145.94358361422923,0.046024685237094715,0.057023881064309716,0.49917006492614746
38,"KB (energy, lmb0.0001)",IHDP,energy,0.0001,38,0.4066653251647949,Done,163.0812857886572,0.032794444858154484,0.033001553407706136,0.4780302047729492
39,"KB (energy, lmb0.0001)",IHDP,energy,0.0001,39,0.39444804191589355,Done,147.1249075509406,0.07853995035022848,0.0804404718655193,0.46472644805908203
