,method_key,dataset_key,kernel,lmb,seed,time,status,checksum,bias_h1,bias_l2_h1,time2
0,"KB (linear, lmb0.0001)",IHDP,linear,0.0001,0,0.5089089870452881,Done,142.4127637621441,0.009877628542875869,0.01797162245077942,0.5805919170379639
1,"KB (linear, lmb0.0001)",IHDP,linear,0.0001,1,0.5159482955932617,Done,144.2744751409479,0.06501710239955695,0.06835570151245703,0.5953176021575928
2,"KB (linear, lmb0.0001)",IHDP,linear,0.0001,2,0.5228793621063232,Done,143.30014698614525,0.04346666417532833,0.049162167328953,0.6016669273376465
3,"KB (linear, lmb0.0001)",IHDP,linear,0.0001,3,0.49809789657592773,Done,148.05671514302279,0.047223159684976805,0.06737532412513436,0.5742318630218506
4,"KB (linear, lmb0.0001)",IHDP,linear,0.0001,4,0.5170025825500488,Done,147.03430989431564,0.029687190205722067,0.02975288881325975,0.5948503017425537
5,"KB (linear, lmb0.0001)",IHDP,linear,0.0001,5,0.5379805564880371,Done,142.3269707961171,0.019017807081645983,0.019018185298197925,0.6187231540679932
6,"KB (linear, lmb0.0001)",IHDP,linear,0.0001,6,0.5224518775939941,Done,141.50307116867637,0.0498301901966611,0.06517100945971671,0.595299482345581
7,"KB (linear, lmb0.0001)",IHDP,linear,0.0001,7,0.5001163482666016,Done,144.5201414126603,0.05725090958609432,0.0614996276527747,0.570753812789917
8,"KB (linear, lmb0.0001)",IHDP,linear,0.0001,8,0.5395646095275879,Done,179.73967657235147,0.06806074102871879,0.11562259332080767,0.6186168193817139
9,"KB (linear, lmb0.0001)",IHDP,linear,0.0001,9,0.5146706104278564,Done,160.08712892274906,0.04072930308912273,0.053438540953746304,0.5866343975067139
10,"KB (linear, lmb0.0001)",IHDP,linear,0.0001,10,0.508267879486084,Done,144.85279390828137,0.12761769094625067,0.12761992675735112,0.5861501693725586
11,"KB (linear, lmb0.0001)",IHDP,linear,0.0001,11,0.543602466583252,Done,149.11707855177784,0.05922007289425885,0.060813238978108246,0.6166653633117676
12,"KB (linear, lmb0.0001)",IHDP,linear,0.0001,12,0.5193991661071777,Done,200.44003839974476,0.3538197743235534,0.37378086221602064,0.5968570709228516
13,"KB (linear, lmb0.0001)",IHDP,linear,0.0001,13,0.5042908191680908,Done,142.46023963768073,0.013450237125457561,0.013585569311666308,0.5795111656188965
14,"KB (linear, lmb0.0001)",IHDP,linear,0.0001,14,0.5518834590911865,Done,146.6165503364577,0.06417848400313447,0.10825245039299239,0.6259310245513916
15,"KB (linear, lmb0.0001)",IHDP,linear,0.0001,15,0.49332237243652344,Done,144.35258209534268,0.029971649448295223,0.030043855417447272,0.5628292560577393
16,"KB (linear, lmb0.0001)",IHDP,linear,0.0001,16,0.4905683994293213,Done,150.64171640230225,0.05869603246033702,0.08295638614112713,0.5636856555938721
17,"KB (linear, lmb0.0001)",IHDP,linear,0.0001,17,0.5085108280181885,Done,148.5714837992555,0.06299873031537269,0.06856579317283513,0.5807249546051025
18,"KB (linear, lmb0.0001)",IHDP,linear,0.0001,18,0.4921083450317383,Done,146.88477563005694,0.004306862225261961,0.004901534113829322,0.5638725757598877
19,"KB (linear, lmb0.0001)",IHDP,linear,0.0001,19,0.48755335807800293,Done,143.1343577041847,0.02235701099587171,0.02235774844321915,0.5631206035614014
20,"KB (linear, lmb0.0001)",IHDP,linear,0.0001,20,0.5031826496124268,Done,156.56869329278277,0.12369543501607232,0.12372442183643033,0.6001400947570801
21,"KB (linear, lmb0.0001)",IHDP,linear,0.0001,21,0.4928886890411377,Done,143.13287786730626,0.06252137138384369,0.06491662277785842,0.5573766231536865
22,"KB (linear, lmb0.0001)",IHDP,linear,0.0001,22,0.48911404609680176,Done,146.77247535502394,0.008261475651631961,0.008637894001592863,0.5625998973846436
23,"KB (linear, lmb0.0001)",IHDP,linear,0.0001,23,0.5134618282318115,Done,150.66182240614378,0.045247140613786506,0.046509216678335775,0.5866789817810059
24,"KB (linear, lmb0.0001)",IHDP,linear,0.0001,24,0.486372709274292,Done,145.44440599290692,0.035437443271409796,0.06279452291136843,0.56048583984375
25,"KB (linear, lmb0.0001)",IHDP,linear,0.0001,25,0.48442983627319336,Done,166.75684312117394,0.26305206379601487,0.271763784678988,0.5582821369171143
26,"KB (linear, lmb0.0001)",IHDP,linear,0.0001,26,0.49594569206237793,Done,145.24503734379815,0.0700907300141929,0.07010279129703045,0.5615859031677246
27,"KB (linear, lmb0.0001)",IHDP,linear,0.0001,27,0.4709632396697998,Done,194.17737405452044,0.366289445461524,0.38769186473558526,0.5363788604736328
28,"KB (linear, lmb0.0001)",IHDP,linear,0.0001,28,0.4668252468109131,Done,146.07824131014317,0.05380019088608331,0.06152378650001306,0.5383541584014893
29,"KB (linear, lmb0.0001)",IHDP,linear,0.0001,29,0.4962899684906006,Done,147.11265451345722,0.06369410884694753,0.06959512663236413,0.5688886642456055
30,"KB (linear, lmb0.0001)",IHDP,linear,0.0001,30,0.48974037170410156,Done,146.62490904170733,0.03601423860046983,0.05086802639001166,0.5650396347045898
31,"KB (linear, lmb0.0001)",IHDP,linear,0.0001,31,0.49595117568969727,Done,144.1253431830959,0.006464755893705741,0.012938698912258247,0.5736465454101562
32,"KB (linear, lmb0.0001)",IHDP,linear,0.0001,32,0.4888877868652344,Done,146.40506672244874,0.05162779365708783,0.05219305684603592,0.565568208694458
33,"KB (linear, lmb0.0001)",IHDP,linear,0.0001,33,0.47666168212890625,Done,194.19547542436928,0.09213755904698814,0.10787405970502927,0.5518925189971924
34,"KB (linear, lmb0.0001)",IHDP,linear,0.0001,34,0.4898543357849121,Done,154.41258133357348,0.045822797929194636,0.06333571306252755,0.566314697265625
35,"KB (linear, lmb0.0001)",IHDP,linear,0.0001,35,0.49351048469543457,Done,156.57851461895223,0.02050889402726182,0.020863088249841424,0.5720212459564209
36,"KB (linear, lmb0.0001)",IHDP,linear,0.0001,36,0.49397850036621094,Done,164.5212556249688,0.08093752023728676,0.10151184585520641,0.5695247650146484
37,"KB (linear, lmb0.0001)",IHDP,linear,0.0001,37,0.4667651653289795,Done,145.94358361422923,0.04914054156774642,0.052624019388705694,0.5337049961090088
38,"KB (linear, lmb0.0001)",IHDP,linear,0.0001,38,0.47316503524780273,Done,163.0812857886572,0.06400229833230628,0.06409062352619223,0.537405252456665
39,"KB (linear, lmb0.0001)",IHDP,linear,0.0001,39,0.498765230178833,Done,147.1249075509406,0.118832795791735,0.12014244781586146,0.5751035213470459
40,"KB (linear, lmb0.0001)",IHDP,linear,0.0001,40,0.5162992477416992,Done,143.39321262298452,0.014334383040340652,0.02713872125658954,0.5858030319213867
41,"KB (linear, lmb0.0001)",IHDP,linear,0.0001,41,0.4928557872772217,Done,142.4229845323709,0.023138316563844363,0.028579485814963702,0.5668351650238037
42,"KB (linear, lmb0.0001)",IHDP,linear,0.0001,42,0.5036716461181641,Done,145.0579059331701,0.004377068920944286,0.009550167362910365,0.5765552520751953
43,"KB (linear, lmb0.0001)",IHDP,linear,0.0001,43,0.499713659286499,Done,150.9356465792247,0.07437108792778534,0.11081511491425033,0.5753028392791748
44,"KB (linear, lmb0.0001)",IHDP,linear,0.0001,44,0.5146045684814453,Done,153.17795629997516,0.023104524008128065,0.032771584058735335,0.5886988639831543
45,"KB (linear, lmb0.0001)",IHDP,linear,0.0001,45,0.5108532905578613,Done,150.71154648574907,0.06630628888834489,0.07594539670210237,0.5835883617401123
46,"KB (linear, lmb0.0001)",IHDP,linear,0.0001,46,0.49446702003479004,Done,152.19643771214444,0.04333838882885909,0.043657816771111795,0.5678107738494873
47,"KB (linear, lmb0.0001)",IHDP,linear,0.0001,47,0.47801804542541504,Done,145.76802101246915,0.014385018705894051,0.03008408153041335,0.5483338832855225
48,"KB (linear, lmb0.0001)",IHDP,linear,0.0001,48,0.5393943786621094,Done,159.23108106101967,0.06409203915356826,0.07445052729875215,0.6221892833709717
49,"KB (linear, lmb0.0001)",IHDP,linear,0.0001,49,0.577700138092041,Done,144.34904954666854,0.09758148545157948,0.09918159553011129,0.6618404388427734
