,method_key,dataset_key,kernel,lmb,seed,time,status,checksum,bias_h1,bias_l2_h1,time2
0,"KB (linear, lmb0.0001)",News,linear,0.0001,0,34.420225381851196,Done,2293.717403566159,0.10422125003381466,0.1089658693346461,40.11970829963684
1,"KB (linear, lmb0.0001)",News,linear,0.0001,1,27.100983381271362,Done,2732.08117885045,0.17627090630794495,0.2232373643921998,32.440988063812256
2,"KB (linear, lmb0.0001)",News,linear,0.0001,2,28.775359869003296,Done,2391.024532802661,0.06913700853090031,0.08197353524335124,36.02523469924927
3,"KB (linear, lmb0.0001)",News,linear,0.0001,3,27.883525848388672,Done,2408.330944730992,0.11070816903543285,0.14504218655387818,33.60070466995239
4,"KB (linear, lmb0.0001)",News,linear,0.0001,4,29.50556230545044,Done,2691.403927040199,0.18172045861166364,0.2478954552204924,35.5591402053833
5,"KB (linear, lmb0.0001)",News,linear,0.0001,5,28.1164767742157,Done,2722.3457942040327,0.2636074112971348,0.3219561123016094,34.22960186004639
6,"KB (linear, lmb0.0001)",News,linear,0.0001,6,26.589728593826294,Done,2416.1454963351457,0.08100626478257088,0.09332153922306886,30.68046259880066
7,"KB (linear, lmb0.0001)",News,linear,0.0001,7,24.414970874786377,Done,2276.0533576931844,0.0987167456428414,0.13822925582891896,28.053763389587402
8,"KB (linear, lmb0.0001)",News,linear,0.0001,8,31.05409836769104,Done,2775.3698135247405,0.1934494304245915,0.21987330303938513,35.82149004936218
9,"KB (linear, lmb0.0001)",News,linear,0.0001,9,29.46339726448059,Done,2464.162421030651,0.06391716276956005,0.07856602311553407,34.02346754074097
10,"KB (linear, lmb0.0001)",News,linear,0.0001,10,27.149336338043213,Done,2442.6488519970976,0.21484658718424016,0.29813387062187746,31.368077039718628
11,"KB (linear, lmb0.0001)",News,linear,0.0001,11,28.950007438659668,Done,2152.57109317188,0.05671566608428456,0.059509126909685024,33.29507541656494
12,"KB (linear, lmb0.0001)",News,linear,0.0001,12,31.21706509590149,Done,2804.5740444459097,0.21538566475387147,0.25587602186430675,35.738259077072144
13,"KB (linear, lmb0.0001)",News,linear,0.0001,13,26.841375589370728,Done,2351.3787945701083,0.11424062798468274,0.1429907855892295,31.033190965652466
14,"KB (linear, lmb0.0001)",News,linear,0.0001,14,29.47088313102722,Done,2241.9775389577285,0.08556575180921659,0.09273390824906086,33.559829235076904
15,"KB (linear, lmb0.0001)",News,linear,0.0001,15,29.298195123672485,Done,2704.31846600419,0.23570527278497203,0.31294304809985324,34.139057874679565
16,"KB (linear, lmb0.0001)",News,linear,0.0001,16,27.48251748085022,Done,2154.7405816545784,0.20208618799904743,0.2966873855895492,32.50237774848938
17,"KB (linear, lmb0.0001)",News,linear,0.0001,17,27.270646572113037,Done,2389.4638909734203,0.11696319004749775,0.1383872757125431,32.113852739334106
18,"KB (linear, lmb0.0001)",News,linear,0.0001,18,28.314262628555298,Done,2555.573369061002,0.0820573995347822,0.11314499473576636,32.77061605453491
19,"KB (linear, lmb0.0001)",News,linear,0.0001,19,27.733890056610107,Done,2316.276231747563,0.14971538705489215,0.20283391775352352,32.21633219718933
20,"KB (linear, lmb0.0001)",News,linear,0.0001,20,27.549051761627197,Done,2275.4514774018126,0.15530211524852464,0.1995462230180713,33.637799978256226
21,"KB (linear, lmb0.0001)",News,linear,0.0001,21,27.471161127090454,Done,2413.212128111431,0.07364030856319684,0.09041707809450143,32.7720422744751
22,"KB (linear, lmb0.0001)",News,linear,0.0001,22,27.514206171035767,Done,2321.2664295194695,0.08986904376268771,0.12847156023218087,32.73767018318176
23,"KB (linear, lmb0.0001)",News,linear,0.0001,23,30.712010860443115,Done,2116.3856041455274,0.055799481459295114,0.06296969211851583,35.98559236526489
24,"KB (linear, lmb0.0001)",News,linear,0.0001,24,28.436046600341797,Done,2584.6960668298016,0.1563292687556572,0.21013224153571888,33.296316623687744
25,"KB (linear, lmb0.0001)",News,linear,0.0001,25,28.206241369247437,Done,2346.0810046420206,0.126103075524607,0.1539802594701126,33.13945698738098
26,"KB (linear, lmb0.0001)",News,linear,0.0001,26,29.41365909576416,Done,2231.8718000033364,0.08090737592264191,0.10810441320892301,35.33132719993591
27,"KB (linear, lmb0.0001)",News,linear,0.0001,27,29.84766411781311,Done,2627.356147197176,0.22885423896673887,0.30399859819895825,34.29653191566467
28,"KB (linear, lmb0.0001)",News,linear,0.0001,28,30.0606050491333,Done,2284.7952141870496,0.0858454030575381,0.1087859387676906,36.62387824058533
29,"KB (linear, lmb0.0001)",News,linear,0.0001,29,28.83589196205139,Done,2722.409197221916,0.220208526562009,0.2567831205619171,33.964362382888794
