,method_key,dataset_key,compression_kwargs,balancing_kwargs,seed,time,status,checksum,bias_h1,bias_l2_h1,time2
0,"PCA+KB (energy, lmb0.0001) (k10)",IHDP,{'k': 10},"{'kernel': 'energy', 'lmb': 0.0001}",0,1.1567575931549072,Done,142.4127637621441,0.014975658555925642,0.03356100220240312,1.2268669605255127
1,"PCA+KB (energy, lmb0.0001) (k10)",IHDP,{'k': 10},"{'kernel': 'energy', 'lmb': 0.0001}",1,0.5074934959411621,Done,144.2744751409479,0.06744617162109384,0.06828851605975195,0.5773007869720459
2,"PCA+KB (energy, lmb0.0001) (k10)",IHDP,{'k': 10},"{'kernel': 'energy', 'lmb': 0.0001}",2,0.443040132522583,Done,143.30014698614525,0.040881873191253894,0.0461757323881128,0.5121433734893799
3,"PCA+KB (energy, lmb0.0001) (k10)",IHDP,{'k': 10},"{'kernel': 'energy', 'lmb': 0.0001}",3,0.44132518768310547,Done,148.05671514302279,0.05621722864343798,0.06644993623831201,0.5086610317230225
4,"PCA+KB (energy, lmb0.0001) (k10)",IHDP,{'k': 10},"{'kernel': 'energy', 'lmb': 0.0001}",4,0.4376256465911865,Done,147.03430989431564,0.040949555866247364,0.04151650629391343,0.5058088302612305
5,"PCA+KB (energy, lmb0.0001) (k10)",IHDP,{'k': 10},"{'kernel': 'energy', 'lmb': 0.0001}",5,0.43535399436950684,Done,142.3269707961171,0.05353390112081926,0.05795256234830927,0.504603385925293
6,"PCA+KB (energy, lmb0.0001) (k10)",IHDP,{'k': 10},"{'kernel': 'energy', 'lmb': 0.0001}",6,0.43358850479125977,Done,141.50307116867637,0.04363065876233702,0.05878664790961111,0.5028207302093506
7,"PCA+KB (energy, lmb0.0001) (k10)",IHDP,{'k': 10},"{'kernel': 'energy', 'lmb': 0.0001}",7,0.49161601066589355,Done,144.5201414126603,0.06514999397585944,0.06537047076404141,0.5610861778259277
8,"PCA+KB (energy, lmb0.0001) (k10)",IHDP,{'k': 10},"{'kernel': 'energy', 'lmb': 0.0001}",8,0.42145252227783203,Done,179.73967657235147,0.42493850118211446,0.44090467492832425,0.49027347564697266
9,"PCA+KB (energy, lmb0.0001) (k10)",IHDP,{'k': 10},"{'kernel': 'energy', 'lmb': 0.0001}",9,0.4495723247528076,Done,160.08712892274906,0.03566379912046505,0.06919514330172892,0.5189080238342285
10,"PCA+KB (energy, lmb0.0001) (k10)",IHDP,{'k': 10},"{'kernel': 'energy', 'lmb': 0.0001}",10,0.42425966262817383,Done,144.85279390828137,0.14009746983698418,0.14232574185183597,0.49376797676086426
11,"PCA+KB (energy, lmb0.0001) (k10)",IHDP,{'k': 10},"{'kernel': 'energy', 'lmb': 0.0001}",11,0.41599011421203613,Done,149.11707855177784,0.06490346656541308,0.06792755628233386,0.4830162525177002
12,"PCA+KB (energy, lmb0.0001) (k10)",IHDP,{'k': 10},"{'kernel': 'energy', 'lmb': 0.0001}",12,0.42843198776245117,Done,200.44003839974476,0.5330545133166132,0.577024542817642,0.4978060722351074
13,"PCA+KB (energy, lmb0.0001) (k10)",IHDP,{'k': 10},"{'kernel': 'energy', 'lmb': 0.0001}",13,0.4387514591217041,Done,142.46023963768073,0.024819729893094174,0.025737175709945215,0.5102441310882568
14,"PCA+KB (energy, lmb0.0001) (k10)",IHDP,{'k': 10},"{'kernel': 'energy', 'lmb': 0.0001}",14,0.445237398147583,Done,146.6165503364577,0.07990455646932015,0.114054529957642,0.5187592506408691
15,"PCA+KB (energy, lmb0.0001) (k10)",IHDP,{'k': 10},"{'kernel': 'energy', 'lmb': 0.0001}",15,0.506458044052124,Done,144.35258209534268,0.0934692607452692,0.09522962798922141,0.5771274566650391
16,"PCA+KB (energy, lmb0.0001) (k10)",IHDP,{'k': 10},"{'kernel': 'energy', 'lmb': 0.0001}",16,0.49208593368530273,Done,150.64171640230225,0.09448557969335493,0.10290497235819998,0.5650031566619873
17,"PCA+KB (energy, lmb0.0001) (k10)",IHDP,{'k': 10},"{'kernel': 'energy', 'lmb': 0.0001}",17,0.45046401023864746,Done,148.5714837992555,0.062329684598631266,0.06290595855934152,0.5215120315551758
18,"PCA+KB (energy, lmb0.0001) (k10)",IHDP,{'k': 10},"{'kernel': 'energy', 'lmb': 0.0001}",18,0.4943852424621582,Done,146.88477563005694,0.0038561144961110658,0.005982988602174797,0.5660533905029297
19,"PCA+KB (energy, lmb0.0001) (k10)",IHDP,{'k': 10},"{'kernel': 'energy', 'lmb': 0.0001}",19,0.49398064613342285,Done,143.1343577041847,0.009866339963958259,0.016622574582868248,0.5652382373809814
20,"PCA+KB (energy, lmb0.0001) (k10)",IHDP,{'k': 10},"{'kernel': 'energy', 'lmb': 0.0001}",20,0.48531603813171387,Done,156.56869329278277,0.12340305957393646,0.1234317168364034,0.556523323059082
21,"PCA+KB (energy, lmb0.0001) (k10)",IHDP,{'k': 10},"{'kernel': 'energy', 'lmb': 0.0001}",21,0.4515101909637451,Done,143.13287786730626,0.0621269971194098,0.0630632603522943,0.5224101543426514
22,"PCA+KB (energy, lmb0.0001) (k10)",IHDP,{'k': 10},"{'kernel': 'energy', 'lmb': 0.0001}",22,0.4416310787200928,Done,146.77247535502394,0.017176236827156743,0.01846287443515836,0.5115664005279541
