,method_key,dataset_key,compression_kwargs,balancing_kwargs,seed,time,status,checksum,bias_h1,bias_l2_h1,time2
0,"PCA+KB (energy, lmb0.0001) (k10)",News,{'k': 10},"{'kernel': 'energy', 'lmb': 0.0001}",0,27.244200706481934,Done,2293.717403566159,0.15799370431720663,0.18705491330722676,31.49571466445923
1,"PCA+KB (energy, lmb0.0001) (k10)",News,{'k': 10},"{'kernel': 'energy', 'lmb': 0.0001}",1,29.625126361846924,Done,2732.08117885045,0.27005613834259345,0.3344150528314635,34.26624393463135
2,"PCA+KB (energy, lmb0.0001) (k10)",News,{'k': 10},"{'kernel': 'energy', 'lmb': 0.0001}",2,26.399943113327026,Done,2391.024532802661,0.11116921182101801,0.1332279216570265,30.098000049591064
3,"PCA+KB (energy, lmb0.0001) (k10)",News,{'k': 10},"{'kernel': 'energy', 'lmb': 0.0001}",3,29.26846694946289,Done,2408.330944730992,0.17030295596207298,0.24347942760261265,32.44314479827881
4,"PCA+KB (energy, lmb0.0001) (k10)",News,{'k': 10},"{'kernel': 'energy', 'lmb': 0.0001}",4,25.591443061828613,Done,2691.403927040199,0.35962021380103304,0.45234196586602987,29.14384436607361
5,"PCA+KB (energy, lmb0.0001) (k10)",News,{'k': 10},"{'kernel': 'energy', 'lmb': 0.0001}",5,29.33911108970642,Done,2722.3457942040327,0.39557186406449407,0.4900457181253632,32.54075336456299
6,"PCA+KB (energy, lmb0.0001) (k10)",News,{'k': 10},"{'kernel': 'energy', 'lmb': 0.0001}",6,26.001253843307495,Done,2416.1454963351457,0.14075377691774685,0.16814255564970879,29.407289505004883
7,"PCA+KB (energy, lmb0.0001) (k10)",News,{'k': 10},"{'kernel': 'energy', 'lmb': 0.0001}",7,29.846612215042114,Done,2276.0533576931844,0.2558918629009875,0.35609715588779056,33.41803193092346
8,"PCA+KB (energy, lmb0.0001) (k10)",News,{'k': 10},"{'kernel': 'energy', 'lmb': 0.0001}",8,27.247928380966187,Done,2775.3698135247405,0.3608382571792391,0.42275376413816795,30.563639163970947
9,"PCA+KB (energy, lmb0.0001) (k10)",News,{'k': 10},"{'kernel': 'energy', 'lmb': 0.0001}",9,27.265430688858032,Done,2464.162421030651,0.09420151057387657,0.11911448923933614,31.117842435836792
10,"PCA+KB (energy, lmb0.0001) (k10)",News,{'k': 10},"{'kernel': 'energy', 'lmb': 0.0001}",10,27.990036249160767,Done,2442.6488519970976,0.42337234758765097,0.5991128983959416,31.52184510231018
11,"PCA+KB (energy, lmb0.0001) (k10)",News,{'k': 10},"{'kernel': 'energy', 'lmb': 0.0001}",11,28.37195134162903,Done,2152.57109317188,0.12019158556391688,0.15504966979936585,31.92817521095276
12,"PCA+KB (energy, lmb0.0001) (k10)",News,{'k': 10},"{'kernel': 'energy', 'lmb': 0.0001}",12,25.328181743621826,Done,2804.5740444459097,0.3437698996628074,0.4112729670813921,28.67162823677063
13,"PCA+KB (energy, lmb0.0001) (k10)",News,{'k': 10},"{'kernel': 'energy', 'lmb': 0.0001}",13,24.952463388442993,Done,2351.3787945701083,0.2390731722778538,0.3231350964413586,29.0326566696167
14,"PCA+KB (energy, lmb0.0001) (k10)",News,{'k': 10},"{'kernel': 'energy', 'lmb': 0.0001}",14,26.204766511917114,Done,2241.9775389577285,0.191436980414556,0.23874774682205152,30.071510791778564
15,"PCA+KB (energy, lmb0.0001) (k10)",News,{'k': 10},"{'kernel': 'energy', 'lmb': 0.0001}",15,23.135480642318726,Done,2704.31846600419,0.4707614544052282,0.6139667841430306,26.242387771606445
16,"PCA+KB (energy, lmb0.0001) (k10)",News,{'k': 10},"{'kernel': 'energy', 'lmb': 0.0001}",16,26.82306981086731,Done,2154.7405816545784,0.34140288303451416,0.504288160397804,30.665680170059204
17,"PCA+KB (energy, lmb0.0001) (k10)",News,{'k': 10},"{'kernel': 'energy', 'lmb': 0.0001}",17,24.798899173736572,Done,2389.4638909734203,0.17709470794848198,0.22691642782576665,29.54203748703003
18,"PCA+KB (energy, lmb0.0001) (k10)",News,{'k': 10},"{'kernel': 'energy', 'lmb': 0.0001}",18,30.03394055366516,Done,2555.573369061002,0.1470578373982975,0.20286241084617207,34.29668998718262
19,"PCA+KB (energy, lmb0.0001) (k10)",News,{'k': 10},"{'kernel': 'energy', 'lmb': 0.0001}",19,24.66439914703369,Done,2316.276231747563,0.2782202170226522,0.37687995761393533,28.767836809158325
20,"PCA+KB (energy, lmb0.0001) (k10)",News,{'k': 10},"{'kernel': 'energy', 'lmb': 0.0001}",20,26.40224814414978,Done,2275.4514774018126,0.3707250308423816,0.5160634245364283,30.17872905731201
21,"PCA+KB (energy, lmb0.0001) (k10)",News,{'k': 10},"{'kernel': 'energy', 'lmb': 0.0001}",21,26.021873712539673,Done,2413.212128111431,0.13894909236887817,0.17951428421899573,30.404528379440308
22,"PCA+KB (energy, lmb0.0001) (k10)",News,{'k': 10},"{'kernel': 'energy', 'lmb': 0.0001}",22,25.86551070213318,Done,2321.2664295194695,0.19268885851030854,0.27195811931678976,30.39577341079712
23,"PCA+KB (energy, lmb0.0001) (k10)",News,{'k': 10},"{'kernel': 'energy', 'lmb': 0.0001}",23,24.5339035987854,Done,2116.3856041455274,0.10700643317214217,0.14118083652066107,29.271031141281128
24,"PCA+KB (energy, lmb0.0001) (k10)",News,{'k': 10},"{'kernel': 'energy', 'lmb': 0.0001}",24,25.257516860961914,Done,2584.6960668298016,0.23933687437243617,0.31436054284683745,29.264595985412598
25,"PCA+KB (energy, lmb0.0001) (k10)",News,{'k': 10},"{'kernel': 'energy', 'lmb': 0.0001}",25,25.758729934692383,Done,2346.0810046420206,0.2642885796710371,0.3524654006857914,30.29905939102173
26,"PCA+KB (energy, lmb0.0001) (k10)",News,{'k': 10},"{'kernel': 'energy', 'lmb': 0.0001}",26,25.42565369606018,Done,2231.8718000033364,0.15338513099966483,0.22491703467746832,29.914466857910156
27,"PCA+KB (energy, lmb0.0001) (k10)",News,{'k': 10},"{'kernel': 'energy', 'lmb': 0.0001}",27,26.09549045562744,Done,2627.356147197176,0.4122047646931638,0.5449726913910184,30.054526805877686
