,method_key,dataset_key,compression_kwargs,balancing_kwargs,seed,time,status,checksum,bias_h1,bias_l2_h1,time2
0,"PCA+KB (linear, lmb0.0001) (k10)",IHDP,{'k': 10},"{'kernel': 'linear', 'lmb': 0.0001}",0,0.5571789741516113,Done,142.4127637621441,0.017163073819151903,0.025423029716753833,0.6387579441070557
1,"PCA+KB (linear, lmb0.0001) (k10)",IHDP,{'k': 10},"{'kernel': 'linear', 'lmb': 0.0001}",1,0.6040537357330322,Done,144.2744751409479,0.06643236972967508,0.066979471244103,0.688499927520752
2,"PCA+KB (linear, lmb0.0001) (k10)",IHDP,{'k': 10},"{'kernel': 'linear', 'lmb': 0.0001}",2,0.5901942253112793,Done,143.30014698614525,0.04108896994298577,0.049326104643883546,0.6752288341522217
3,"PCA+KB (linear, lmb0.0001) (k10)",IHDP,{'k': 10},"{'kernel': 'linear', 'lmb': 0.0001}",3,0.6155664920806885,Done,148.05671514302279,0.06171071136184832,0.07144611252180597,0.7003958225250244
4,"PCA+KB (linear, lmb0.0001) (k10)",IHDP,{'k': 10},"{'kernel': 'linear', 'lmb': 0.0001}",4,0.6074280738830566,Done,147.03430989431564,0.04693653038265603,0.04710407050307452,0.678821325302124
5,"PCA+KB (linear, lmb0.0001) (k10)",IHDP,{'k': 10},"{'kernel': 'linear', 'lmb': 0.0001}",5,0.5231552124023438,Done,142.3269707961171,0.04161969944475559,0.04249844474217835,0.5807783603668213
6,"PCA+KB (linear, lmb0.0001) (k10)",IHDP,{'k': 10},"{'kernel': 'linear', 'lmb': 0.0001}",6,0.5772111415863037,Done,141.50307116867637,0.04371266384723448,0.06015863909204437,0.6519169807434082
7,"PCA+KB (linear, lmb0.0001) (k10)",IHDP,{'k': 10},"{'kernel': 'linear', 'lmb': 0.0001}",7,0.6150298118591309,Done,144.5201414126603,0.05993388194376693,0.06024171894533671,0.6878383159637451
8,"PCA+KB (linear, lmb0.0001) (k10)",IHDP,{'k': 10},"{'kernel': 'linear', 'lmb': 0.0001}",8,0.5260303020477295,Done,179.73967657235147,0.3489977782866727,0.36049804146414594,0.5827984809875488
9,"PCA+KB (linear, lmb0.0001) (k10)",IHDP,{'k': 10},"{'kernel': 'linear', 'lmb': 0.0001}",9,0.5206234455108643,Done,160.08712892274906,0.0652912764660199,0.08487667104987207,0.576833963394165
