,method_key,dataset_key,compression_kwargs,balancing_kwargs,seed,time,status,checksum,bias_h1,bias_l2_h1,time2
0,"PS+KB (energy, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",IHDP,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'energy', 'lmb': 0.0001}",0,0.48268699645996094,Done,142.4127637621441,0.01816842925651813,0.018170147901567228,0.5531957149505615
1,"PS+KB (energy, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",IHDP,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'energy', 'lmb': 0.0001}",1,0.46555590629577637,Done,144.2744751409479,0.06046693671873464,0.06246828666203587,0.5331385135650635
2,"PS+KB (energy, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",IHDP,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'energy', 'lmb': 0.0001}",2,0.47618627548217773,Done,143.30014698614525,0.03231130702886025,0.03231259563137058,0.5463254451751709
3,"PS+KB (energy, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",IHDP,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'energy', 'lmb': 0.0001}",3,0.46922826766967773,Done,148.05671514302279,0.04564059661218909,0.07259503820213843,0.5373363494873047
4,"PS+KB (energy, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",IHDP,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'energy', 'lmb': 0.0001}",4,0.4771137237548828,Done,147.03430989431564,0.04933882134954445,0.05394702129282209,0.5472583770751953
5,"PS+KB (energy, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",IHDP,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'energy', 'lmb': 0.0001}",5,0.47975707054138184,Done,142.3269707961171,0.03795193421101207,0.038773435928648625,0.5497140884399414
6,"PS+KB (energy, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",IHDP,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'energy', 'lmb': 0.0001}",6,0.4803032875061035,Done,141.50307116867637,0.04501843047908469,0.06245789782123621,0.549898624420166
7,"PS+KB (energy, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",IHDP,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'energy', 'lmb': 0.0001}",7,0.48082804679870605,Done,144.5201414126603,0.033582205961077805,0.036936038249295304,0.5511932373046875
8,"PS+KB (energy, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",IHDP,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'energy', 'lmb': 0.0001}",8,0.4695146083831787,Done,179.73967657235147,0.4145889893362553,0.4235160181653903,0.5391988754272461
9,"PS+KB (energy, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",IHDP,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'energy', 'lmb': 0.0001}",9,0.4701664447784424,Done,160.08712892274906,0.05934055298139334,0.11979723099023998,0.5350699424743652
