,method_key,dataset_key,compression_kwargs,balancing_kwargs,seed,time,status,checksum,bias_h1,bias_l2_h1,time2
0,"PS+KB (energy, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",News,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'energy', 'lmb': 0.0001}",0,81.67238187789917,Done,2293.717403566159,0.3707479039072204,0.5064177100193061,86.4247179031372
1,"PS+KB (energy, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",News,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'energy', 'lmb': 0.0001}",1,88.13262009620667,Done,2732.08117885045,0.3731941494696894,0.47246313027651116,91.96405529975891
2,"PS+KB (energy, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",News,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'energy', 'lmb': 0.0001}",2,82.089040517807,Done,2391.024532802661,0.16136402124374655,0.20426879636176523,86.52449202537537
3,"PS+KB (energy, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",News,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'energy', 'lmb': 0.0001}",3,83.36996555328369,Done,2408.330944730992,0.23722622317142722,0.3394040108528836,87.91486668586731
4,"PS+KB (energy, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",News,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'energy', 'lmb': 0.0001}",4,84.85069990158081,Done,2691.403927040199,0.4860064278687426,0.626087592334573,88.55922412872314
5,"PS+KB (energy, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",News,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'energy', 'lmb': 0.0001}",5,84.50055885314941,Done,2722.3457942040327,0.4811141337568488,0.6039367019768467,88.37366962432861
6,"PS+KB (energy, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",News,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'energy', 'lmb': 0.0001}",6,80.53172087669373,Done,2416.1454963351457,0.18933614470249963,0.24198996534435116,84.47668313980103
7,"PS+KB (energy, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",News,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'energy', 'lmb': 0.0001}",7,82.73767518997192,Done,2276.0533576931844,0.2092864180298675,0.2902476792373077,87.24487090110779
8,"PS+KB (energy, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",News,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'energy', 'lmb': 0.0001}",8,88.02187085151672,Done,2775.3698135247405,0.3990590540619761,0.47227503630555434,92.52741765975952
9,"PS+KB (energy, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",News,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'energy', 'lmb': 0.0001}",9,84.44123125076294,Done,2464.162421030651,0.10831290300836838,0.13706115464520915,88.73347520828247
