,method_key,dataset_key,compression_kwargs,balancing_kwargs,seed,time,status,checksum,bias_h1,bias_l2_h1,time2
0,"PS+KB (linear, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",News,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'linear', 'lmb': 0.0001}",0,84.69799399375916,Done,2293.717403566159,0.5569705005360486,0.7807309327538287,88.26300501823425
1,"PS+KB (linear, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",News,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'linear', 'lmb': 0.0001}",1,84.55989861488342,Done,2732.08117885045,0.46472111824082196,0.5928820289854733,87.77015137672424
2,"PS+KB (linear, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",News,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'linear', 'lmb': 0.0001}",2,83.22336483001709,Done,2391.024532802661,0.2304632605476516,0.29921693484193357,86.95661878585815
3,"PS+KB (linear, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",News,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'linear', 'lmb': 0.0001}",3,86.67807102203369,Done,2408.330944730992,0.3235504549092847,0.46038292102512696,90.3267412185669
4,"PS+KB (linear, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",News,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'linear', 'lmb': 0.0001}",4,84.152184009552,Done,2691.403927040199,0.6150289139039447,0.795279857082361,87.91690373420715
5,"PS+KB (linear, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",News,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'linear', 'lmb': 0.0001}",5,85.8632140159607,Done,2722.3457942040327,0.5755570025491538,0.7279916201631095,89.72987961769104
6,"PS+KB (linear, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",News,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'linear', 'lmb': 0.0001}",6,88.6177864074707,Done,2416.1454963351457,0.2554397648316722,0.3346160513609598,92.59144020080566
7,"PS+KB (linear, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",News,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'linear', 'lmb': 0.0001}",7,84.38583207130432,Done,2276.0533576931844,0.26531828878788977,0.3724905392037415,88.80755400657654
8,"PS+KB (linear, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",News,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'linear', 'lmb': 0.0001}",8,83.23731875419617,Done,2775.3698135247405,0.48569703571873407,0.5838180454981042,87.66881799697876
9,"PS+KB (linear, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",News,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'linear', 'lmb': 0.0001}",9,86.49224829673767,Done,2464.162421030651,0.13095876861214975,0.16924427756103144,94.3915274143219
10,"PS+KB (linear, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",News,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'linear', 'lmb': 0.0001}",10,83.14465975761414,Done,2442.6488519970976,0.48193423047825146,0.6855460157232177,101.89597153663635
11,"PS+KB (linear, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",News,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'linear', 'lmb': 0.0001}",11,89.89714002609253,Done,2152.57109317188,0.16424982937867355,0.2215310986152042,104.36152148246765
12,"PS+KB (linear, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",News,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'linear', 'lmb': 0.0001}",12,82.64591670036316,Done,2804.5740444459097,0.5474150648124547,0.6742024962731932,86.58053040504456
13,"PS+KB (linear, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",News,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'linear', 'lmb': 0.0001}",13,84.90443968772888,Done,2351.3787945701083,0.34959646007253503,0.4769799727694017,87.8698263168335
14,"PS+KB (linear, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",News,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'linear', 'lmb': 0.0001}",14,87.3321738243103,Done,2241.9775389577285,0.28078629484970813,0.36110076018165577,90.96176552772522
15,"PS+KB (linear, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",News,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'linear', 'lmb': 0.0001}",15,86.25234079360962,Done,2704.31846600419,0.60331095190317,0.8045724886424082,90.02429223060608
16,"PS+KB (linear, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",News,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'linear', 'lmb': 0.0001}",16,86.64125514030457,Done,2154.7405816545784,0.7008446796813645,1.039614298816904,90.33360409736633
17,"PS+KB (linear, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",News,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'linear', 'lmb': 0.0001}",17,86.45009589195251,Done,2389.4638909734203,0.3670266417992863,0.4884784521153765,91.19481420516968
18,"PS+KB (linear, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",News,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'linear', 'lmb': 0.0001}",18,82.53689289093018,Done,2555.573369061002,0.24044997088686487,0.3326992523709827,86.81505084037781
19,"PS+KB (linear, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",News,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'linear', 'lmb': 0.0001}",19,83.69914317131042,Done,2316.276231747563,0.3785648213266236,0.5130096709666783,87.80094909667969
20,"PS+KB (linear, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",News,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'linear', 'lmb': 0.0001}",20,116.67774105072021,Done,2275.4514774018126,0.5289310852201942,0.7469978547934037,121.55261731147766
21,"PS+KB (linear, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",News,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'linear', 'lmb': 0.0001}",21,81.48519968986511,Done,2413.212128111431,0.2219097374902015,0.2859889592887346,105.43189120292664
22,"PS+KB (linear, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",News,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'linear', 'lmb': 0.0001}",22,97.2214457988739,Done,2321.2664295194695,0.3512515300238567,0.5121566651899419,108.16507172584534
23,"PS+KB (linear, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",News,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'linear', 'lmb': 0.0001}",23,83.00082921981812,Done,2116.3856041455274,0.11366910901306893,0.15289073333991857,88.28322339057922
24,"PS+KB (linear, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",News,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'linear', 'lmb': 0.0001}",24,84.25801801681519,Done,2584.6960668298016,0.3847869625903959,0.5111810424450991,87.83087468147278
25,"PS+KB (linear, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",News,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'linear', 'lmb': 0.0001}",25,83.58544158935547,Done,2346.0810046420206,0.288716956402069,0.38563526877396687,87.33683252334595
26,"PS+KB (linear, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",News,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'linear', 'lmb': 0.0001}",26,84.51090836524963,Done,2231.8718000033364,0.2044200766797696,0.29968188100375526,88.12015581130981
27,"PS+KB (linear, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",News,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'linear', 'lmb': 0.0001}",27,90.21529483795166,Done,2627.356147197176,0.6232532506200611,0.8423161049413801,94.17804026603699
28,"PS+KB (linear, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",News,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'linear', 'lmb': 0.0001}",28,93.2978138923645,Done,2284.7952141870496,0.20468244065165728,0.2744733313092132,97.80095601081848
