,method_key,dataset_key,compression_kwargs,balancing_kwargs,seed,time1,status,checksum,bias
0,"ABS+KB (energy, lmb0.0001) (k10 neural_pq 10 100000 True 0.01 [200] [200] 0)",TBI,"{'fitter_class': 'AutoDMLBalancingScoreFitter', 'model': 'neural_pq', 'balancing_x_dim': 10, 'batch_size': 100000, 'early_stopping': True, 'init_lr': 0.01, 'layer_dims_balancing_x': [200], 'layer_dims_output': [200], 'weight_decay': 0}","{'kernel': 'energy', 'lmb': 0.0001}",0,26.104358911514282,Done,532.4831269951425,6.256155404598964
1,"ABS+KB (energy, lmb0.0001) (k10 neural_pq 10 100000 True 0.01 [200] [200] 0)",TBI,"{'fitter_class': 'AutoDMLBalancingScoreFitter', 'model': 'neural_pq', 'balancing_x_dim': 10, 'batch_size': 100000, 'early_stopping': True, 'init_lr': 0.01, 'layer_dims_balancing_x': [200], 'layer_dims_output': [200], 'weight_decay': 0}","{'kernel': 'energy', 'lmb': 0.0001}",1,1.44083571434021,Done,570.7453166612909,1.1292976383825248
2,"ABS+KB (energy, lmb0.0001) (k10 neural_pq 10 100000 True 0.01 [200] [200] 0)",TBI,"{'fitter_class': 'AutoDMLBalancingScoreFitter', 'model': 'neural_pq', 'balancing_x_dim': 10, 'batch_size': 100000, 'early_stopping': True, 'init_lr': 0.01, 'layer_dims_balancing_x': [200], 'layer_dims_output': [200], 'weight_decay': 0}","{'kernel': 'energy', 'lmb': 0.0001}",2,1.457040548324585,Done,548.2459943637932,11.035625634420299
3,"ABS+KB (energy, lmb0.0001) (k10 neural_pq 10 100000 True 0.01 [200] [200] 0)",TBI,"{'fitter_class': 'AutoDMLBalancingScoreFitter', 'model': 'neural_pq', 'balancing_x_dim': 10, 'batch_size': 100000, 'early_stopping': True, 'init_lr': 0.01, 'layer_dims_balancing_x': [200], 'layer_dims_output': [200], 'weight_decay': 0}","{'kernel': 'energy', 'lmb': 0.0001}",3,1.423985242843628,Done,539.7955421809701,4.755152133256026
4,"ABS+KB (energy, lmb0.0001) (k10 neural_pq 10 100000 True 0.01 [200] [200] 0)",TBI,"{'fitter_class': 'AutoDMLBalancingScoreFitter', 'model': 'neural_pq', 'balancing_x_dim': 10, 'batch_size': 100000, 'early_stopping': True, 'init_lr': 0.01, 'layer_dims_balancing_x': [200], 'layer_dims_output': [200], 'weight_decay': 0}","{'kernel': 'energy', 'lmb': 0.0001}",4,1.5292279720306396,Done,541.0246760693028,4.810912549172791
5,"ABS+KB (energy, lmb0.0001) (k10 neural_pq 10 100000 True 0.01 [200] [200] 0)",TBI,"{'fitter_class': 'AutoDMLBalancingScoreFitter', 'model': 'neural_pq', 'balancing_x_dim': 10, 'batch_size': 100000, 'early_stopping': True, 'init_lr': 0.01, 'layer_dims_balancing_x': [200], 'layer_dims_output': [200], 'weight_decay': 0}","{'kernel': 'energy', 'lmb': 0.0001}",5,1.0624563694000244,Done,551.2400519076513,1.191679463594177
6,"ABS+KB (energy, lmb0.0001) (k10 neural_pq 10 100000 True 0.01 [200] [200] 0)",TBI,"{'fitter_class': 'AutoDMLBalancingScoreFitter', 'model': 'neural_pq', 'balancing_x_dim': 10, 'batch_size': 100000, 'early_stopping': True, 'init_lr': 0.01, 'layer_dims_balancing_x': [200], 'layer_dims_output': [200], 'weight_decay': 0}","{'kernel': 'energy', 'lmb': 0.0001}",6,2.2537620067596436,Done,534.0316607704995,3.753777252844621
7,"ABS+KB (energy, lmb0.0001) (k10 neural_pq 10 100000 True 0.01 [200] [200] 0)",TBI,"{'fitter_class': 'AutoDMLBalancingScoreFitter', 'model': 'neural_pq', 'balancing_x_dim': 10, 'batch_size': 100000, 'early_stopping': True, 'init_lr': 0.01, 'layer_dims_balancing_x': [200], 'layer_dims_output': [200], 'weight_decay': 0}","{'kernel': 'energy', 'lmb': 0.0001}",7,1.615813970565796,Done,546.557702421105,6.460405317169801
8,"ABS+KB (energy, lmb0.0001) (k10 neural_pq 10 100000 True 0.01 [200] [200] 0)",TBI,"{'fitter_class': 'AutoDMLBalancingScoreFitter', 'model': 'neural_pq', 'balancing_x_dim': 10, 'batch_size': 100000, 'early_stopping': True, 'init_lr': 0.01, 'layer_dims_balancing_x': [200], 'layer_dims_output': [200], 'weight_decay': 0}","{'kernel': 'energy', 'lmb': 0.0001}",8,1.471191644668579,Done,547.99331141975,4.752525898770237
9,"ABS+KB (energy, lmb0.0001) (k10 neural_pq 10 100000 True 0.01 [200] [200] 0)",TBI,"{'fitter_class': 'AutoDMLBalancingScoreFitter', 'model': 'neural_pq', 'balancing_x_dim': 10, 'batch_size': 100000, 'early_stopping': True, 'init_lr': 0.01, 'layer_dims_balancing_x': [200], 'layer_dims_output': [200], 'weight_decay': 0}","{'kernel': 'energy', 'lmb': 0.0001}",9,1.239145040512085,Done,501.95505204760775,11.575637823907002
10,"ABS+KB (energy, lmb0.0001) (k10 neural_pq 10 100000 True 0.01 [200] [200] 0)",TBI,"{'fitter_class': 'AutoDMLBalancingScoreFitter', 'model': 'neural_pq', 'balancing_x_dim': 10, 'batch_size': 100000, 'early_stopping': True, 'init_lr': 0.01, 'layer_dims_balancing_x': [200], 'layer_dims_output': [200], 'weight_decay': 0}","{'kernel': 'energy', 'lmb': 0.0001}",10,1.909853219985962,Done,551.8102610651991,4.652712709959424
