,method_key,dataset_key,model,balancing_x_dim,batch_size,early_stopping,init_lr,layer_dims_balancing_x,layer_dims_output,weight_decay,seed,time1,status,checksum,bias
0,AutoDML head (k10 neural_pq 10 100000 True 0.01 [200] [200] 0),TBI,neural_pq,10,100000,True,0.01,[200],[200],0,0,0.501823902130127,Done,532.4831269951425,8.351907789955455
1,AutoDML head (k10 neural_pq 10 100000 True 0.01 [200] [200] 0),TBI,neural_pq,10,100000,True,0.01,[200],[200],0,1,0.344005823135376,Done,570.7453166612909,23.140595385084453
2,AutoDML head (k10 neural_pq 10 100000 True 0.01 [200] [200] 0),TBI,neural_pq,10,100000,True,0.01,[200],[200],0,2,0.3318040370941162,Done,548.2459943637932,48.83140284876053
3,AutoDML head (k10 neural_pq 10 100000 True 0.01 [200] [200] 0),TBI,neural_pq,10,100000,True,0.01,[200],[200],0,3,0.8359766006469727,Done,539.7955421809701,63.54967884120882
4,AutoDML head (k10 neural_pq 10 100000 True 0.01 [200] [200] 0),TBI,neural_pq,10,100000,True,0.01,[200],[200],0,4,0.27813720703125,Done,541.0246760693028,87.38190934724116
5,AutoDML head (k10 neural_pq 10 100000 True 0.01 [200] [200] 0),TBI,neural_pq,10,100000,True,0.01,[200],[200],0,5,0.6330156326293945,Done,551.2400519076513,94.24259483840159
6,AutoDML head (k10 neural_pq 10 100000 True 0.01 [200] [200] 0),TBI,neural_pq,10,100000,True,0.01,[200],[200],0,6,0.37021541595458984,Done,534.0316607704995,47.49926294875551
7,AutoDML head (k10 neural_pq 10 100000 True 0.01 [200] [200] 0),TBI,neural_pq,10,100000,True,0.01,[200],[200],0,7,0.4418752193450928,Done,546.557702421105,86.50129436227323
8,AutoDML head (k10 neural_pq 10 100000 True 0.01 [200] [200] 0),TBI,neural_pq,10,100000,True,0.01,[200],[200],0,8,0.2930305004119873,Done,547.99331141975,77.61611329263104
9,AutoDML head (k10 neural_pq 10 100000 True 0.01 [200] [200] 0),TBI,neural_pq,10,100000,True,0.01,[200],[200],0,9,0.29891061782836914,Done,501.95505204760775,8.638511756915193
10,AutoDML head (k10 neural_pq 10 100000 True 0.01 [200] [200] 0),TBI,neural_pq,10,100000,True,0.01,[200],[200],0,10,0.33307719230651855,Done,551.8102610651991,54.143005729879555
11,AutoDML head (k10 neural_pq 10 100000 True 0.01 [200] [200] 0),TBI,neural_pq,10,100000,True,0.01,[200],[200],0,11,0.32997727394104004,Done,533.5012463600231,88.56943006468788
12,AutoDML head (k10 neural_pq 10 100000 True 0.01 [200] [200] 0),TBI,neural_pq,10,100000,True,0.01,[200],[200],0,12,0.3399975299835205,Done,552.4854894826462,34.84085359930053
13,AutoDML head (k10 neural_pq 10 100000 True 0.01 [200] [200] 0),TBI,neural_pq,10,100000,True,0.01,[200],[200],0,13,0.39013123512268066,Done,564.358136118151,58.708345697962905
14,AutoDML head (k10 neural_pq 10 100000 True 0.01 [200] [200] 0),TBI,neural_pq,10,100000,True,0.01,[200],[200],0,14,1.0308258533477783,Done,536.7578888220236,39.16052489770878
15,AutoDML head (k10 neural_pq 10 100000 True 0.01 [200] [200] 0),TBI,neural_pq,10,100000,True,0.01,[200],[200],0,15,0.3274345397949219,Done,547.8635378688396,5.712061580366445
16,AutoDML head (k10 neural_pq 10 100000 True 0.01 [200] [200] 0),TBI,neural_pq,10,100000,True,0.01,[200],[200],0,16,0.7124001979827881,Done,535.9921035019719,93.59030074984469
17,AutoDML head (k10 neural_pq 10 100000 True 0.01 [200] [200] 0),TBI,neural_pq,10,100000,True,0.01,[200],[200],0,17,1.1552622318267822,Done,525.5849233865646,43.39163522535125
18,AutoDML head (k10 neural_pq 10 100000 True 0.01 [200] [200] 0),TBI,neural_pq,10,100000,True,0.01,[200],[200],0,18,0.3134043216705322,Done,534.102246826059,42.43436373964453
19,AutoDML head (k10 neural_pq 10 100000 True 0.01 [200] [200] 0),TBI,neural_pq,10,100000,True,0.01,[200],[200],0,19,0.3458061218261719,Done,539.8189864526507,17.064183776541107
20,AutoDML head (k10 neural_pq 10 100000 True 0.01 [200] [200] 0),TBI,neural_pq,10,100000,True,0.01,[200],[200],0,20,0.31124281883239746,Done,548.8138960125209,93.28084843575711
21,AutoDML head (k10 neural_pq 10 100000 True 0.01 [200] [200] 0),TBI,neural_pq,10,100000,True,0.01,[200],[200],0,21,0.6012845039367676,Done,548.6413151006914,33.23459038659158
22,AutoDML head (k10 neural_pq 10 100000 True 0.01 [200] [200] 0),TBI,neural_pq,10,100000,True,0.01,[200],[200],0,22,0.44260263442993164,Done,558.3620288621934,17.18589612836181
23,AutoDML head (k10 neural_pq 10 100000 True 0.01 [200] [200] 0),TBI,neural_pq,10,100000,True,0.01,[200],[200],0,23,0.5191755294799805,Done,546.416117633197,87.57610618390817
24,AutoDML head (k10 neural_pq 10 100000 True 0.01 [200] [200] 0),TBI,neural_pq,10,100000,True,0.01,[200],[200],0,24,0.4026930332183838,Done,537.934772269711,34.92287604434257
25,AutoDML head (k10 neural_pq 10 100000 True 0.01 [200] [200] 0),TBI,neural_pq,10,100000,True,0.01,[200],[200],0,25,0.5209994316101074,Done,532.8373012180581,86.27925410967448
26,AutoDML head (k10 neural_pq 10 100000 True 0.01 [200] [200] 0),TBI,neural_pq,10,100000,True,0.01,[200],[200],0,26,0.33406949043273926,Done,512.8123133108263,73.77857798358403
27,AutoDML head (k10 neural_pq 10 100000 True 0.01 [200] [200] 0),TBI,neural_pq,10,100000,True,0.01,[200],[200],0,27,0.2971789836883545,Done,502.09680421729547,46.453248120729434
28,AutoDML head (k10 neural_pq 10 100000 True 0.01 [200] [200] 0),TBI,neural_pq,10,100000,True,0.01,[200],[200],0,28,0.8406655788421631,Done,508.8049831814471,51.15217023269249
29,AutoDML head (k10 neural_pq 10 100000 True 0.01 [200] [200] 0),TBI,neural_pq,10,100000,True,0.01,[200],[200],0,29,0.8902194499969482,Done,540.1761805935183,74.0637315115914
30,AutoDML head (k10 neural_pq 10 100000 True 0.01 [200] [200] 0),TBI,neural_pq,10,100000,True,0.01,[200],[200],0,30,0.2871699333190918,Done,567.0567799834796,90.93638136088437
31,AutoDML head (k10 neural_pq 10 100000 True 0.01 [200] [200] 0),TBI,neural_pq,10,100000,True,0.01,[200],[200],0,31,0.6776885986328125,Done,551.4673717686484,75.94516506031778
32,AutoDML head (k10 neural_pq 10 100000 True 0.01 [200] [200] 0),TBI,neural_pq,10,100000,True,0.01,[200],[200],0,32,0.30840277671813965,Done,533.3225256432846,96.30493573635778
