,method_key,dataset_key,algorithm,model,seed,time1,status,checksum,bias
0,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,0,0.4889063835144043,Done,532.4831269951425,2.1046961666765327
1,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,1,0.35521483421325684,Done,570.7453166612909,4.219857640990959
2,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,2,0.3500995635986328,Done,548.2459943637932,0.30949008044080983
3,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,3,0.3068537712097168,Done,539.7955421809701,1.7258129137572524
4,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,4,0.33623218536376953,Done,541.0246760693028,1.0443986445190205
5,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,5,0.3564164638519287,Done,551.2400519076513,1.9124080967444002
6,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,6,0.35918569564819336,Done,534.0316607704995,0.3075569598617065
7,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,7,0.3487584590911865,Done,546.557702421105,1.1191766117862088
8,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,8,0.2964620590209961,Done,547.99331141975,0.4182108737065846
9,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,9,0.2904701232910156,Done,501.95505204760775,6.515831834056911
10,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,10,0.2920668125152588,Done,551.8102610651991,1.881320847812944
11,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,11,0.3275315761566162,Done,533.5012463600231,4.015992914558488
12,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,12,0.34750795364379883,Done,552.4854894826462,0.9432744269948401
13,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,13,0.31269335746765137,Done,564.358136118151,6.0303873113172415
