,method_key,dataset_key,compression_kwargs,balancing_kwargs,seed,time1,status,checksum,bias
0,"NSM+KB (energy, lmb0.0001) (k10 neural_pq 10 100000 True 0.01 [200] [200] 0)",TBI,"{'fitter_class': 'NSMBalancingScoreFitter', 'model': 'neural_pq', 'balancing_x_dim': 10, 'batch_size': 100000, 'early_stopping': True, 'init_lr': 0.01, 'layer_dims_balancing_x': [200], 'layer_dims_output': [200], 'weight_decay': 0}","{'kernel': 'energy', 'lmb': 0.0001}",0,1.9590647220611572,Done,532.4831269951425,5.177567311499317
1,"NSM+KB (energy, lmb0.0001) (k10 neural_pq 10 100000 True 0.01 [200] [200] 0)",TBI,"{'fitter_class': 'NSMBalancingScoreFitter', 'model': 'neural_pq', 'balancing_x_dim': 10, 'batch_size': 100000, 'early_stopping': True, 'init_lr': 0.01, 'layer_dims_balancing_x': [200], 'layer_dims_output': [200], 'weight_decay': 0}","{'kernel': 'energy', 'lmb': 0.0001}",1,1.698082685470581,Done,570.7453166612909,3.815366100721711
2,"NSM+KB (energy, lmb0.0001) (k10 neural_pq 10 100000 True 0.01 [200] [200] 0)",TBI,"{'fitter_class': 'NSMBalancingScoreFitter', 'model': 'neural_pq', 'balancing_x_dim': 10, 'batch_size': 100000, 'early_stopping': True, 'init_lr': 0.01, 'layer_dims_balancing_x': [200], 'layer_dims_output': [200], 'weight_decay': 0}","{'kernel': 'energy', 'lmb': 0.0001}",2,2.500370740890503,Done,548.2459943637932,4.868509854354457
3,"NSM+KB (energy, lmb0.0001) (k10 neural_pq 10 100000 True 0.01 [200] [200] 0)",TBI,"{'fitter_class': 'NSMBalancingScoreFitter', 'model': 'neural_pq', 'balancing_x_dim': 10, 'batch_size': 100000, 'early_stopping': True, 'init_lr': 0.01, 'layer_dims_balancing_x': [200], 'layer_dims_output': [200], 'weight_decay': 0}","{'kernel': 'energy', 'lmb': 0.0001}",3,1.7770249843597412,Done,539.7955421809701,3.267506314048802
4,"NSM+KB (energy, lmb0.0001) (k10 neural_pq 10 100000 True 0.01 [200] [200] 0)",TBI,"{'fitter_class': 'NSMBalancingScoreFitter', 'model': 'neural_pq', 'balancing_x_dim': 10, 'batch_size': 100000, 'early_stopping': True, 'init_lr': 0.01, 'layer_dims_balancing_x': [200], 'layer_dims_output': [200], 'weight_decay': 0}","{'kernel': 'energy', 'lmb': 0.0001}",4,2.454244613647461,Done,541.0246760693028,1.3701826016636716
5,"NSM+KB (energy, lmb0.0001) (k10 neural_pq 10 100000 True 0.01 [200] [200] 0)",TBI,"{'fitter_class': 'NSMBalancingScoreFitter', 'model': 'neural_pq', 'balancing_x_dim': 10, 'batch_size': 100000, 'early_stopping': True, 'init_lr': 0.01, 'layer_dims_balancing_x': [200], 'layer_dims_output': [200], 'weight_decay': 0}","{'kernel': 'energy', 'lmb': 0.0001}",5,2.5096800327301025,Done,551.2400519076513,6.943670485556623
6,"NSM+KB (energy, lmb0.0001) (k10 neural_pq 10 100000 True 0.01 [200] [200] 0)",TBI,"{'fitter_class': 'NSMBalancingScoreFitter', 'model': 'neural_pq', 'balancing_x_dim': 10, 'batch_size': 100000, 'early_stopping': True, 'init_lr': 0.01, 'layer_dims_balancing_x': [200], 'layer_dims_output': [200], 'weight_decay': 0}","{'kernel': 'energy', 'lmb': 0.0001}",6,2.1539835929870605,Done,534.0316607704995,3.2537955018134213
7,"NSM+KB (energy, lmb0.0001) (k10 neural_pq 10 100000 True 0.01 [200] [200] 0)",TBI,"{'fitter_class': 'NSMBalancingScoreFitter', 'model': 'neural_pq', 'balancing_x_dim': 10, 'batch_size': 100000, 'early_stopping': True, 'init_lr': 0.01, 'layer_dims_balancing_x': [200], 'layer_dims_output': [200], 'weight_decay': 0}","{'kernel': 'energy', 'lmb': 0.0001}",7,1.923492431640625,Done,546.557702421105,3.106453712424141
8,"NSM+KB (energy, lmb0.0001) (k10 neural_pq 10 100000 True 0.01 [200] [200] 0)",TBI,"{'fitter_class': 'NSMBalancingScoreFitter', 'model': 'neural_pq', 'balancing_x_dim': 10, 'batch_size': 100000, 'early_stopping': True, 'init_lr': 0.01, 'layer_dims_balancing_x': [200], 'layer_dims_output': [200], 'weight_decay': 0}","{'kernel': 'energy', 'lmb': 0.0001}",8,1.9178121089935303,Done,547.99331141975,15.635821523256567
9,"NSM+KB (energy, lmb0.0001) (k10 neural_pq 10 100000 True 0.01 [200] [200] 0)",TBI,"{'fitter_class': 'NSMBalancingScoreFitter', 'model': 'neural_pq', 'balancing_x_dim': 10, 'batch_size': 100000, 'early_stopping': True, 'init_lr': 0.01, 'layer_dims_balancing_x': [200], 'layer_dims_output': [200], 'weight_decay': 0}","{'kernel': 'energy', 'lmb': 0.0001}",9,3.0983641147613525,Done,501.95505204760775,7.445533973650534
10,"NSM+KB (energy, lmb0.0001) (k10 neural_pq 10 100000 True 0.01 [200] [200] 0)",TBI,"{'fitter_class': 'NSMBalancingScoreFitter', 'model': 'neural_pq', 'balancing_x_dim': 10, 'batch_size': 100000, 'early_stopping': True, 'init_lr': 0.01, 'layer_dims_balancing_x': [200], 'layer_dims_output': [200], 'weight_decay': 0}","{'kernel': 'energy', 'lmb': 0.0001}",10,2.384950876235962,Done,551.8102610651991,0.22555576332101168
11,"NSM+KB (energy, lmb0.0001) (k10 neural_pq 10 100000 True 0.01 [200] [200] 0)",TBI,"{'fitter_class': 'NSMBalancingScoreFitter', 'model': 'neural_pq', 'balancing_x_dim': 10, 'batch_size': 100000, 'early_stopping': True, 'init_lr': 0.01, 'layer_dims_balancing_x': [200], 'layer_dims_output': [200], 'weight_decay': 0}","{'kernel': 'energy', 'lmb': 0.0001}",11,1.9384207725524902,Done,533.5012463600231,1.1315709489285553
12,"NSM+KB (energy, lmb0.0001) (k10 neural_pq 10 100000 True 0.01 [200] [200] 0)",TBI,"{'fitter_class': 'NSMBalancingScoreFitter', 'model': 'neural_pq', 'balancing_x_dim': 10, 'batch_size': 100000, 'early_stopping': True, 'init_lr': 0.01, 'layer_dims_balancing_x': [200], 'layer_dims_output': [200], 'weight_decay': 0}","{'kernel': 'energy', 'lmb': 0.0001}",12,2.5319221019744873,Done,552.4854894826462,1.3641730544585542
13,"NSM+KB (energy, lmb0.0001) (k10 neural_pq 10 100000 True 0.01 [200] [200] 0)",TBI,"{'fitter_class': 'NSMBalancingScoreFitter', 'model': 'neural_pq', 'balancing_x_dim': 10, 'batch_size': 100000, 'early_stopping': True, 'init_lr': 0.01, 'layer_dims_balancing_x': [200], 'layer_dims_output': [200], 'weight_decay': 0}","{'kernel': 'energy', 'lmb': 0.0001}",13,2.1220686435699463,Done,564.358136118151,2.876527580008542
