,method_key,dataset_key,compression_kwargs,balancing_kwargs,seed,time1,status,checksum,bias
0,"PCA+KB (linear, lmb0.0001) (k10)",TBI,{'k': 10},"{'kernel': 'linear', 'lmb': 0.0001}",0,2.11309814453125,Done,532.4831269951425,51.907865774129036
1,"PCA+KB (linear, lmb0.0001) (k10)",TBI,{'k': 10},"{'kernel': 'linear', 'lmb': 0.0001}",1,2.0201590061187744,Done,570.7453166612909,85.99429350702815
2,"PCA+KB (linear, lmb0.0001) (k10)",TBI,{'k': 10},"{'kernel': 'linear', 'lmb': 0.0001}",2,1.9925205707550049,Done,548.2459943637932,47.760484015426
3,"PCA+KB (linear, lmb0.0001) (k10)",TBI,{'k': 10},"{'kernel': 'linear', 'lmb': 0.0001}",3,2.0463368892669678,Done,539.7955421809701,63.52809786256879
4,"PCA+KB (linear, lmb0.0001) (k10)",TBI,{'k': 10},"{'kernel': 'linear', 'lmb': 0.0001}",4,2.0405290126800537,Done,541.0246760693028,86.331533026328
5,"PCA+KB (linear, lmb0.0001) (k10)",TBI,{'k': 10},"{'kernel': 'linear', 'lmb': 0.0001}",5,1.3531744480133057,Done,551.2400519076513,70.75424171233746
6,"PCA+KB (linear, lmb0.0001) (k10)",TBI,{'k': 10},"{'kernel': 'linear', 'lmb': 0.0001}",6,1.908545970916748,Done,534.0316607704995,55.910023055847944
7,"PCA+KB (linear, lmb0.0001) (k10)",TBI,{'k': 10},"{'kernel': 'linear', 'lmb': 0.0001}",7,1.729011058807373,Done,546.557702421105,89.32623687163147
8,"PCA+KB (linear, lmb0.0001) (k10)",TBI,{'k': 10},"{'kernel': 'linear', 'lmb': 0.0001}",8,2.1032462120056152,Done,547.99331141975,35.28987190215677
9,"PCA+KB (linear, lmb0.0001) (k10)",TBI,{'k': 10},"{'kernel': 'linear', 'lmb': 0.0001}",9,1.6196913719177246,Done,501.95505204760775,80.1676699500003
10,"PCA+KB (linear, lmb0.0001) (k10)",TBI,{'k': 10},"{'kernel': 'linear', 'lmb': 0.0001}",10,2.098783254623413,Done,551.8102610651991,85.7953249190544
11,"PCA+KB (linear, lmb0.0001) (k10)",TBI,{'k': 10},"{'kernel': 'linear', 'lmb': 0.0001}",11,1.6489555835723877,Done,533.5012463600231,82.80222026103078
12,"PCA+KB (linear, lmb0.0001) (k10)",TBI,{'k': 10},"{'kernel': 'linear', 'lmb': 0.0001}",12,1.811014175415039,Done,552.4854894826462,74.01188650283355
13,"PCA+KB (linear, lmb0.0001) (k10)",TBI,{'k': 10},"{'kernel': 'linear', 'lmb': 0.0001}",13,1.8130083084106445,Done,564.358136118151,58.77635419512975
14,"PCA+KB (linear, lmb0.0001) (k10)",TBI,{'k': 10},"{'kernel': 'linear', 'lmb': 0.0001}",14,1.7873997688293457,Done,536.7578888220236,51.332207702239145
15,"PCA+KB (linear, lmb0.0001) (k10)",TBI,{'k': 10},"{'kernel': 'linear', 'lmb': 0.0001}",15,1.8992633819580078,Done,547.8635378688396,76.7796409142388
16,"PCA+KB (linear, lmb0.0001) (k10)",TBI,{'k': 10},"{'kernel': 'linear', 'lmb': 0.0001}",16,1.9569923877716064,Done,535.9921035019719,8.962392438738448
