,method_key,dataset_key,compression_kwargs,balancing_kwargs,seed,time1,status,checksum,bias
0,"PS+KB (energy, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",TBI,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'energy', 'lmb': 0.0001}",0,1.238586187362671,Done,532.4831269951425,5.859723610017419
1,"PS+KB (energy, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",TBI,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'energy', 'lmb': 0.0001}",1,1.0758254528045654,Done,570.7453166612909,16.86033466283081
2,"PS+KB (energy, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",TBI,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'energy', 'lmb': 0.0001}",2,1.2576465606689453,Done,548.2459943637932,11.443350607514859
3,"PS+KB (energy, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",TBI,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'energy', 'lmb': 0.0001}",3,1.448509693145752,Done,539.7955421809701,0.2849196749171057
4,"PS+KB (energy, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",TBI,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'energy', 'lmb': 0.0001}",4,1.3647303581237793,Done,541.0246760693028,1.2659325031715767
5,"PS+KB (energy, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",TBI,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'energy', 'lmb': 0.0001}",5,1.5368595123291016,Done,551.2400519076513,4.672560795695816
6,"PS+KB (energy, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",TBI,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'energy', 'lmb': 0.0001}",6,1.412071943283081,Done,534.0316607704995,3.6615749977950784
7,"PS+KB (energy, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",TBI,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'energy', 'lmb': 0.0001}",7,1.5608575344085693,Done,546.557702421105,16.65633693228228
8,"PS+KB (energy, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",TBI,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'energy', 'lmb': 0.0001}",8,1.3533504009246826,Done,547.99331141975,14.440680268397863
9,"PS+KB (energy, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",TBI,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'energy', 'lmb': 0.0001}",9,1.2670783996582031,Done,501.95505204760775,2.378280053116086
10,"PS+KB (energy, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",TBI,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'energy', 'lmb': 0.0001}",10,1.0857248306274414,Done,551.8102610651991,15.077964007798464
11,"PS+KB (energy, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",TBI,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'energy', 'lmb': 0.0001}",11,1.4081735610961914,Done,533.5012463600231,10.301576748454508
12,"PS+KB (energy, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",TBI,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'energy', 'lmb': 0.0001}",12,1.4737098217010498,Done,552.4854894826462,7.8391691907784065
13,"PS+KB (energy, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",TBI,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'energy', 'lmb': 0.0001}",13,1.1764740943908691,Done,564.358136118151,14.897840740518141
14,"PS+KB (energy, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",TBI,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'energy', 'lmb': 0.0001}",14,1.4627082347869873,Done,536.7578888220236,6.656929867055382
